Feature,Coefficient,Abs_Coefficient,Selected
FICO_score,1.0046940294183653,1.0046940294183653,True
LTI,-0.2899286674976494,0.2899286674976494,True
Monthly_Housing_Payment,-0.26849740073007433,0.26849740073007433,True
Lender_encoded,0.22085034743619636,0.22085034743619636,True
Monthly_Gross_Income,0.20978146006643422,0.20978146006643422,True
Employment_Status_encoded,-0.20158245616862017,0.20158245616862017,True
DTI,0.19989535646669482,0.19989535646669482,True
Ever_Bankrupt_or_Foreclose,-0.13664687331088188,0.13664687331088188,True
Fico_Score_group_encoded,0.12672398365201415,0.12672398365201415,True
Loan_Amount,0.05596314586539033,0.05596314586539033,True
FICO_Bin_Custom_encoded,-0.04428029792053158,0.04428029792053158,True
Employment_Sector_encoded,0.029336641655646156,0.029336641655646156,True
Loan_Category_encoded,0.018405194429717792,0.018405194429717792,True
Income_Quartile_encoded,-0.018099321556183087,0.018099321556183087,True
Reason_encoded,0.0,0.0,False
