Reason,Total,Approved,Approval_Rate
cover_an_unexpected_cost,10322,1145,0.11092811470645224
credit_card_refinancing,9442,1083,0.11470027536538868
debt_conslidation,15198,1607,0.10573759705224371
home_improvement,6203,684,0.11026922456875705
major_purchase,8804,951,0.10801908223534756
other,5031,561,0.11150864639236732
