Lender,Test_AUC,CV_AUC,Train_AUC,Meets_Target_070
A,0.7991680582407771,0.7929602274605146,0.8316792968375251,True
B,0.8871768885053369,0.8804450785391597,0.9254569846093232,True
C,0.7518993772008031,0.761727273352918,0.8560317221112912,True
