Loan_Bracket,Total,Approved,Approval_Rate
Very Low,8397,659,0.07848040967012028
Low,7442,580,0.07793603869927439
Medium,3819,252,0.06598586017282011
High,4239,265,0.06251474404340647
Very High,3603,204,0.05661948376353039
