Reason,Total,Approved,Approval_Rate
cover_an_unexpected_cost,5096,342,0.06711145996860282
credit_card_refinancing,4772,349,0.0731349538977368
debt_conslidation,7565,537,0.07098479841374752
home_improvement,3119,222,0.07117665918563643
major_purchase,4420,324,0.07330316742081448
other,2528,186,0.07357594936708861
