Loan_Bracket,Total,Approved,Approval_Rate
Very Low,5351,1073,0.2005232666791254
Low,4769,831,0.17425036695323967
Medium,2394,403,0.1683375104427736
High,2668,347,0.1300599700149925
Very High,2318,331,0.14279551337359792
