Fico_Score_group,Total,Approved,Approval_Rate
excellent,630,273,0.43333333333333335
fair,9923,153,0.015418724176156404
good,7400,1006,0.13594594594594595
poor,7774,0,0.0
very_good,1773,528,0.29780033840947545
